      1:         250 gets,           0 rem
      2:           3 gets,           0 rem
      3:           9 gets,           0 rem
      4:          29 gets,           0 rem
      5:          12 gets,           0 rem
      6:           8 gets,           0 rem
      7:          15 gets,           0 rem
      8:         284 gets,           0 rem
      9:           7 gets,           0 rem
     10:           7 gets,           0 rem
     11:           9 gets,           0 rem
     12:          99 gets,           0 rem
     13:          11 gets,           0 rem
     14:          10 gets,           0 rem
     15:          34 gets,           0 rem
     16:          33 gets,           0 rem
     17:          29 gets,           0 rem
     18:        6906 gets,           0 rem
     19:          29 gets,           0 rem
     20:        1205 gets,           0 rem
     21:           5 gets,           0 rem
     22:          40 gets,           0 rem
     23:          87 gets,           0 rem
     24:          83 gets,           0 rem
     25:          12 gets,           0 rem
     26:          51 gets,           0 rem
     27:          29 gets,           0 rem
     28:          69 gets,           0 rem
     29:           5 gets,           0 rem
     30:          23 gets,           0 rem
     31:          55 gets,           0 rem
     32:         122 gets,           0 rem
     33:           3 gets,           0 rem
     37:          25 gets,           0 rem
     38:           5 gets,           0 rem
     39:          24 gets,           0 rem
     40:          74 gets,           0 rem
     41:           4 gets,           0 rem
     42:           6 gets,           0 rem
     43:           1 gets,           0 rem
     44:       26599 gets,           0 rem
     45:           8 gets,           0 rem
     46:           5 gets,           0 rem
     47:          11 gets,           0 rem
     48:          22 gets,           0 rem
     49:           1 gets,           0 rem
     50:           3 gets,           0 rem
     51:           4 gets,           0 rem
     52:         307 gets,           0 rem
     53:           3 gets,           0 rem
     54:           5 gets,           0 rem
     55:           4 gets,           0 rem
     56:           6 gets,           0 rem
     57:           1 gets,           0 rem
     58:           3 gets,           0 rem
     59:           3 gets,           0 rem
     60:        2448 gets,           0 rem
     61:           1 gets,           0 rem
     62:           1 gets,           0 rem
     64:          12 gets,           0 rem
     65:           8 gets,           0 rem
     68:        1012 gets,           0 rem
     74:           6 gets,           0 rem
     80:           2 gets,           0 rem
     83:           4 gets,           0 rem
     85:           5 gets,           0 rem
     88:           8 gets,           0 rem
     89:           3 gets,           0 rem
     92:           5 gets,           0 rem
     95:           2 gets,           0 rem
     96:         273 gets,           0 rem
     97:           2 gets,           0 rem
    100:           9 gets,           0 rem
    104:          87 gets,           0 rem
    108:           3 gets,           0 rem
    112:           1 gets,           0 rem
    116:           6 gets,           0 rem
    126:           1 gets,           0 rem
    143:           1 gets,           0 rem
    144:           2 gets,           0 rem
    148:         523 gets,           0 rem
    152:           6 gets,           0 rem
    165:           1 gets,           0 rem
    168:           7 gets,           0 rem
    176:           6 gets,           0 rem
    184:           2 gets,           0 rem
    200:           4 gets,           0 rem
    208:         509 gets,           0 rem
    224:           8 gets,           0 rem
    228:         102 gets,           0 rem
    240:         506 gets,           0 rem
    244:          11 gets,           0 rem
    256:          22 gets,           0 rem
    260:         503 gets,           0 rem
    276:           2 gets,           0 rem
    280:           7 gets,           0 rem
    292:           4 gets,           0 rem
    300:          18 gets,           0 rem
    312:           1 gets,           0 rem
    320:           1 gets,           0 rem
    348:           8 gets,           0 rem
    424:           1 gets,           0 rem
    480:           4 gets,           0 rem
    488:         248 gets,           0 rem
    512:           1 gets,           0 rem
    520:         204 gets,           0 rem
    528:         427 gets,           0 rem
    536:         248 gets,           0 rem
    548:         507 gets,           0 rem
    584:           8 gets,           0 rem
    588:           2 gets,           0 rem
    624:         257 gets,           0 rem
    788:          11 gets,           0 rem
    800:           3 gets,           0 rem
    860:           2 gets,           0 rem
    896:           8 gets,           0 rem
   1025:           2 gets,           0 rem
   1060:         441 gets,           0 rem
>= 1100:         160 gets,           0 rem
